iter	Passed	Remaining
541	7182	6069
542	7198	6058
543	7206	6040
544	7215	6024
545	7226	6009
546	7238	5994
547	7248	5978
548	7261	5965
549	7272	5950
550	7283	5935
551	7293	5919
552	7308	5907
553	7320	5893
554	7330	5877
555	7340	5861
556	7350	5845
557	7360	5830
558	7371	5815
559	7380	5799
560	7391	5783
561	7401	5768
562	7410	5752
563	7425	5740
564	7439	5727
565	7454	5716
566	7469	5704
567	7479	5688
568	7489	5673
569	7499	5657
570	7509	5642
571	7520	5627
572	7530	5611
573	7540	5596
574	7557	5586
575	7569	5571
576	7579	5556
577	7589	5541
578	7602	5527
579	7612	5512
580	7621	5496
581	7632	5481
582	7642	5466
583	7652	5451
584	7663	5436
585	7679	5425
586	7689	5410
587	7699	5395
588	7709	5379
589	7719	5364
590	7730	5349
591	7739	5334
592	7750	5319
593	7764	5306
594	7775	5292
595	7788	5279
596	7803	5267
597	7812	5252
598	7822	5237
599	7832	5221
600	7842	5206
601	7863	5198
602	7874	5184
603	7884	5169
604	7897	5156
605	7909	5142
606	7925	5131
607	7935	5116
608	7945	5101
609	7955	5086
610	7965	5071
611	7976	5057
612	7987	5042
613	7997	5027
614	8006	5012
615	8019	4999
616	8031	4985
617	8046	4973
618	8056	4958
619	8065	4943
620	8075	4928
621	8085	4913
622	8095	4899
623	8108	4885
624	8123	4874
625	8137	4861
626	8147	4846
627	8163	4835
628	8173	4821
629	8183	4806
630	8194	4791
631	8204	4777
632	8214	4762
633	8224	4747
634	8233	4732
635	8244	4718
636	8254	4703
637	8264	4689
638	8285	4681
639	8303	4670
640	8314	4656
641	8323	4641
642	8334	4627
643	8344	4612
644	8353	4597
645	8364	4583
646	8374	4568
647	8384	4554
648	8401	4543
649	8412	4529
650	8421	4515
651	8433	4501
652	8446	4488
653	8456	4473
654	8466	4459
655	8476	4444
656	8485	4430
657	8496	4415
658	8511	4404
659	8523	4390
660	8532	4376
661	8542	4361
662	8555	4348
663	8570	4336
664	8580	4322
665	8589	4307
666	8600	4293
667	8610	4279
668	8621	4265
669	8637	4254
670	8648	4240
671	8658	4226
672	8668	4211
673	8678	4197
674	8695	4186
675	8708	4173
676	8718	4159
677	8727	4145
678	8738	4131
679	8755	4120
680	8766	4106
681	8778	4093
682	8791	4080
683	8802	4066
684	8813	4052
685	8823	4038
686	8833	4024
687	8845	4011
688	8855	3997
689	8866	3983
690	8875	3969
691	8885	3954
692	8896	3941
693	8912	3929
694	8921	3915
695	8931	3901
696	8944	3888
697	8954	3874
698	8964	3860
699	8975	3846
700	8985	3832
701	8995	3818
702	9005	3804
703	9020	3792
704	9032	3779
705	9042	3765
706	9052	3751
707	9062	3737
708	9072	3723
709	9082	3709
710	9104	3700
711	9113	3686
712	9123	3672
713	9137	3659
714	9151	3647
715	9160	3633
716	9171	3619
717	9181	3606
718	9192	3592
719	9201	3578
720	9213	3565
721	9223	3551
722	9233	3537
723	9247	3525
724	9258	3511
725	9273	3499
726	9285	3486
727	9294	3472
728	9306	3459
729	9317	3446
730	9328	3432
731	9337	3418
732	9348	3405
733	9358	3391
734	9368	3377
735	9380	3364
736	9397	3353
737	9407	3339
738	9420	3327
739	9430	3313
740	9440	3299
741	9450	3286
742	9461	3272
743	9471	3259
744	9482	3245
745	9498	3234
746	9517	3223
747	9530	3210
748	9541	3197
749	9548	3182
750	9558	3169
751	9568	3155
752	9578	3141
753	9588	3128
754	9598	3114
755	9608	3101
756	9618	3087
757	9632	3075
758	9646	3062
759	9656	3049
760	9666	3035
761	9676	3022
762	9686	3008
763	9696	2995
764	9706	2981
765	9716	2968
766	9726	2954
767	9737	2941
768	9753	2929
769	9764	2916
770	9775	2903
771	9784	2889
772	9794	2876
773	9805	2862
774	9814	2849
775	9826	2836
776	9837	2823
777	9848	2810
778	9858	2796
779	9868	2783
780	9881	2770
781	9898	2759
782	9917	2748
783	9927	2735
784	9936	2721
785	9946	2707
786	9956	2694
787	9965	2681
788	9976	2667
789	9986	2654
790	9995	2640
791	10004	2627
792	10014	2614
793	10023	2600
794	10032	2587
795	10041	2573
796	10056	2561
797	10068	2548
798	10078	2535
799	10087	2521
800	10097	2508
801	10106	2495
802	10115	2481
803	10125	2468
804	10134	2454
805	10144	2441
806	10153	2428
807	10163	2415
808	10173	2401
809	10182	2388
810	10191	2375
811	10201	2361
812	10210	2348
813	10219	2335
814	10228	2321
815	10238	2308
816	10248	2295
817	10261	2283
818	10271	2269
819	10280	2256
820	10289	2243
821	10306	2231
822	10317	2218
823	10329	2206
824	10339	2193
825	10348	2179
826	10359	2167
827	10368	2153
828	10378	2140
829	10387	2127
830	10396	2114
831	10408	2101
832	10419	2088
833	10428	2075
834	10441	2063
835	10454	2050
836	10466	2038
837	10480	2026
838	10489	2012
839	10499	1999
840	10509	1986
841	10518	1973
842	10529	1960
843	10538	1947
844	10548	1934
845	10571	1924
846	10585	1912
847	10602	1900
848	10614	1887
849	10623	1874
850	10634	1861
851	10657	1851
852	10673	1839
853	10718	1832
854	10731	1819
855	10759	1810
856	10778	1798
857	10797	1787
858	10806	1773
859	10816	1760
860	10827	1747
861	10837	1734
862	10846	1721
863	10861	1709
864	10872	1696
865	10882	1683
866	10897	1671
867	10906	1658
868	10916	1645
869	10927	1632
870	10936	1619
871	10946	1606
872	10956	1593
873	10965	1580
874	10975	1567
875	10985	1555
876	10994	1542
877	11009	1529
878	11020	1517
879	11030	1504
880	11063	1494
881	11086	1483
882	11155	1478
883	11179	1467
884	11191	1454
885	11204	1441
886	11215	1428
